seed,case_id,difficulty,n_oars,target_oar_overlap_fraction,initial_acceptable,search_acceptable,reference_acceptable,initial_violation,search_violation,reference_violation,manual_actions,actions,stopping_reason,search_objective,reference_objective,canonical_objective_gap
13000,synthetic3d-013000,easy,1,0.0,False,True,True,0.10263692631441002,0.0,0.0,1,increase_target_priority,acceptable,0.030925723908694636,0.0017422571369252182,16.750378662975763
13001,synthetic3d-013001,easy,1,0.0,False,True,True,0.06464254154878502,0.0,0.0,1,increase_target_priority,acceptable,0.009022276499308646,0.003004359748359775,2.0030613025734825
13002,synthetic3d-013002,easy,1,0.0,False,True,True,0.04027609264149383,0.0,0.0,1,increase_target_priority,acceptable,0.003308901868877001,0.0004901230954601488,5.751164961468427
13003,synthetic3d-013003,moderate,2,0.0013850415512465374,False,False,True,0.20574132140684515,0.004808804568122389,0.0,4,increase_hotspot_priority|increase_oar_priority|add_beam|remove_beam,search_step_limit,0.1869026990607381,0.12208885920699686,0.5308743178921175
13004,synthetic3d-013004,moderate,2,0.0,True,True,True,0.0,0.0,0.0,0,,acceptable,0.12959912477526814,0.05350990242732223,1.4219652605663253
13005,synthetic3d-013005,moderate,2,0.05454545454545454,False,False,True,0.3820798740467455,0.0024726531084845785,0.0,3,add_beam|add_beam|add_beam,search_step_limit,0.17356175143504515,0.1670033548725769,0.03927104678509183
13006,synthetic3d-013006,hard,3,0.0,False,False,False,0.8637600408106704,0.030108907431190497,0.05846594916449638,4,add_beam|add_beam|increase_oar_priority|add_beam,search_step_limit,0.30024982639588416,0.29932493926025927,0.003089910041945111
13007,synthetic3d-013007,hard,3,0.07512953367875648,False,False,False,1.2911812620431506,0.1488066940471439,0.1546830133579585,4,add_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority,search_step_limit,0.5506224857526831,0.5919978474412346,-0.06989106779253731
13008,synthetic3d-013008,hard,3,0.2066869300911854,False,False,False,1.4185208461898953,0.3788332229041986,0.5473368452125972,4,add_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority,search_step_limit,0.8866414427757263,0.7650746684521437,0.1588953070025567
