training_seed,condition,case_id,case_seed,difficulty,acceptable,violation_score,high_level_actions,stopping_reason
0,trajectory,synthetic3d-102703,102703,moderate,True,0.0,6,acceptable
0,trajectory,synthetic3d-102905,102905,moderate,True,0.0,2,acceptable
0,trajectory,synthetic3d-103177,103177,hard,False,0.5249208514515069,10,policy_step_limit
0,trajectory,synthetic3d-103369,103369,easy,True,0.0,3,acceptable
0,trajectory,synthetic3d-103425,103425,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-103428,103428,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-103545,103545,moderate,False,0.1769543173517918,10,policy_step_limit
0,trajectory,synthetic3d-103574,103574,easy,True,0.0,8,acceptable
0,trajectory,synthetic3d-103710,103710,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-103884,103884,moderate,False,0.032440536162432476,10,policy_step_limit
0,trajectory,synthetic3d-103934,103934,hard,False,0.9838309995556356,10,policy_step_limit
0,trajectory,synthetic3d-103999,103999,moderate,False,0.28817350259423224,10,policy_step_limit
0,trajectory,synthetic3d-104063,104063,easy,True,0.0,3,acceptable
0,trajectory,synthetic3d-104099,104099,moderate,False,0.11321439111171094,10,policy_step_limit
0,trajectory,synthetic3d-104173,104173,easy,True,0.0,7,acceptable
0,trajectory,synthetic3d-104403,104403,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-104720,104720,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-104767,104767,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-105237,105237,moderate,False,0.041112798911417725,10,policy_step_limit
0,trajectory,synthetic3d-105609,105609,easy,True,0.0,9,acceptable
0,trajectory,synthetic3d-105963,105963,moderate,True,0.0,2,acceptable
0,trajectory,synthetic3d-106211,106211,moderate,False,0.3136652531214792,10,policy_step_limit
0,trajectory,synthetic3d-106524,106524,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-106643,106643,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-106762,106762,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-106905,106905,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-106955,106955,moderate,False,0.17145610554964064,10,policy_step_limit
0,trajectory,synthetic3d-107023,107023,moderate,True,0.0,2,acceptable
0,trajectory,synthetic3d-107125,107125,easy,True,0.0,4,acceptable
0,trajectory,synthetic3d-107427,107427,easy,True,0.0,6,acceptable
0,trajectory,synthetic3d-107511,107511,moderate,True,0.0,10,acceptable
0,trajectory,synthetic3d-107906,107906,moderate,True,0.0,8,acceptable
0,trajectory,synthetic3d-108121,108121,easy,True,0.0,3,acceptable
0,trajectory,synthetic3d-108206,108206,moderate,True,0.0,3,acceptable
0,trajectory,synthetic3d-108267,108267,easy,True,0.0,8,acceptable
0,trajectory,synthetic3d-108331,108331,easy,True,0.0,5,acceptable
0,trajectory,synthetic3d-108703,108703,hard,False,0.6132805076308752,10,policy_step_limit
0,trajectory,synthetic3d-108746,108746,moderate,False,0.15867979768564516,10,policy_step_limit
0,trajectory,synthetic3d-108940,108940,moderate,False,0.41435912247619755,10,policy_step_limit
0,trajectory,synthetic3d-108948,108948,hard,False,0.821044309451624,10,policy_step_limit
1,endpoint,synthetic3d-100018,100018,moderate,False,0.2502652930638689,10,policy_step_limit
1,endpoint,synthetic3d-100040,100040,easy,True,0.0,5,acceptable
1,endpoint,synthetic3d-100182,100182,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-100232,100232,moderate,False,0.5818820768555746,10,policy_step_limit
1,endpoint,synthetic3d-100319,100319,hard,False,0.40665367599133484,10,policy_step_limit
1,endpoint,synthetic3d-100326,100326,moderate,False,0.11530912141444416,10,policy_step_limit
1,endpoint,synthetic3d-100492,100492,easy,True,0.0,2,acceptable
