case_id,seed,difficulty,mode,field_count,arc_like,angles_degrees,acceptable_synthetic_rules,target_d95,target_d02,oar_0_mean,oar_1_mean,oar_2_mean,maximum_oar_ratio,target_v95_percent,paddick_ci_95,rtog_ci_95,r50,body_mean_dose,elapsed_seconds,peak_memory_mib
prostate3d-104720,104720,easy,static_4,4,False,0.000|90.000|180.000|270.000,False,0.9753471612930298,1.0560940504074097,0.10379818826913834,0.3538815677165985,0.4125301241874695,1.213323894669028,99.35897435897436,0.4438225079435454,2.2243589743589745,32.27564102564103,0.09859731793403625,2.394434200017713,38.52587890625
prostate3d-104720,104720,easy,static_7,7,False,0.000|51.429|102.857|154.286|205.714|257.143|308.571,True,0.9903988838195801,1.023666501045227,0.0987258180975914,0.20540852844715118,0.28838691115379333,0.8481967975111568,100.0,0.47129909365558914,2.121794871794872,15.512820512820513,0.0835600420832634,2.234703499940224,67.36865234375
prostate3d-100492,100492,easy,static_4,4,False,0.000|90.000|180.000|270.000,False,0.9746096730232239,1.1818314790725708,0.12934590876102448,0.33512547612190247,0.3738612234592438,1.099591833703658,99.57264957264957,0.5756929863629615,1.7222222222222223,19.786324786324787,0.10053837299346924,2.09909020003397,35.45849609375
prostate3d-100492,100492,easy,static_7,7,False,0.000|51.429|102.857|154.286|205.714|257.143|308.571,True,0.9869474172592163,1.178707242012024,0.12619969248771667,0.24300909042358398,0.2423449009656906,0.7127791204873253,100.0,0.5492957746478874,1.8205128205128205,10.341880341880342,0.09879814833402634,2.117079099989496,61.21826171875
prostate3d-100887,100887,easy,static_4,4,False,0.000|90.000|180.000|270.000,False,0.9737818837165833,1.0761555433273315,0.11414418369531631,0.3498133420944214,0.4254579246044159,1.2513468370718113,100.0,0.4774011299435028,2.094674556213018,25.810650887573964,0.09803774207830429,2.067515300004743,35.376953125
prostate3d-100887,100887,easy,static_7,7,False,0.000|51.429|102.857|154.286|205.714|257.143|308.571,True,0.9889819622039795,1.0948736667633057,0.10880324989557266,0.2205624282360077,0.2747322618961334,0.8080360644003923,100.0,0.4774011299435028,2.094674556213018,13.733727810650887,0.087615467607975,2.119517400045879,61.2158203125
prostate3d-104767,104767,easy,static_4,4,False,0.000|90.000|180.000|270.000,False,0.9757702350616455,1.1968162059783936,0.16014856100082397,0.33446943759918213,0.3600260317325592,1.0589000933310564,99.56709956709956,0.6058315582125106,1.6363636363636365,20.415584415584416,0.09157384932041168,2.093613200006075,38.93505859375
prostate3d-104767,104767,easy,static_7,7,False,0.000|51.429|102.857|154.286|205.714|257.143|308.571,True,0.9843458533287048,1.1836459636688232,0.1555517613887787,0.23193730413913727,0.267050564289093,0.7854428361443911,100.0,0.5460992907801419,1.8311688311688312,10.25974025974026,0.08822162449359894,2.078527900041081,64.32421875
prostate3d-103999,103999,moderate,static_4,4,False,0.000|90.000|180.000|270.000,False,0.9690262079238892,1.0838595628738403,0.26595863699913025,0.3515171408653259,0.40353575348854065,1.1868698632015902,99.51219512195122,0.659106746911625,1.502439024390244,19.536585365853657,0.08381561189889908,2.059305500006303,38.92529296875
prostate3d-103999,103999,moderate,static_7,7,False,0.000|51.429|102.857|154.286|205.714|257.143|308.571,True,0.9811256527900696,1.0826207399368286,0.26200035214424133,0.235701322555542,0.28792494535446167,0.846838074571946,100.0,0.5710306406685237,1.751219512195122,11.453658536585365,0.08498436957597733,2.107635200023651,64.29443359375
prostate3d-107023,107023,moderate,static_4,4,False,0.000|90.000|180.000|270.000,False,0.9697256088256836,1.2390058040618896,0.18465064465999603,0.38055723905563354,0.37557899951934814,1.1046441162333769,98.4375,0.6264204545454546,1.546875,19.8125,0.0980800911784172,2.0692482000449672,42.00537109375
prostate3d-107023,107023,moderate,static_7,7,False,0.000|51.429|102.857|154.286|205.714|257.143|308.571,True,0.9843541383743286,1.2414766550064087,0.16083133220672607,0.2817985415458679,0.23455341160297394,0.6898629753028644,98.4375,0.5755510440835266,1.68359375,9.79296875,0.09813093394041061,2.1593021999578923,69.8056640625
prostate3d-100232,100232,moderate,static_4,4,False,0.000|90.000|180.000|270.000,False,0.975308358669281,1.1851731538772583,0.2643328607082367,0.3991315960884094,0.3969361484050751,1.1674592600149265,97.6923076923077,0.6617025641025641,1.4423076923076923,18.365384615384617,0.10244430601596832,2.0430232000071555,39.3603515625
prostate3d-100232,100232,moderate,static_7,7,False,0.000|51.429|102.857|154.286|205.714|257.143|308.571,True,0.9864693880081177,1.2137577533721924,0.23707211017608643,0.2838860750198364,0.28110265731811523,0.8267725215238683,98.46153846153847,0.5664304235090752,1.7115384615384615,10.415384615384616,0.10311435908079147,2.1530242000008,64.8349609375
prostate3d-108940,108940,moderate,static_4,4,False,0.000|90.000|180.000|270.000,False,0.9684029817581177,1.112790584564209,0.18631698191165924,0.42338940501213074,0.42276978492736816,1.243440543904024,99.63503649635037,0.6224339808582071,1.594890510948905,18.2992700729927,0.10984355211257935,2.038751899963245,40.92236328125
