seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
10000,True,synthetic-010000,moderate,9,acceptable,True,20.0,0.33771904464615365,0.9831140477676923,0.853310103856218,1.1231711689986135,0.9866351333013018
10001,True,synthetic-010001,moderate,21,converged,False,20.0,0.24087934280224618,0.9879560328598878,0.8394881350561335,1.135648027387411,0.936622785435353
10002,True,synthetic-010002,hard,20,converged,False,20.0,0.64047815070282,0.967976092464859,0.7937581887041454,1.116842819099606,1.1992886229387794
10003,True,synthetic-010003,hard,44,converged,False,20.0,0.7266470815244942,0.9636676459237753,0.6277770543770865,1.1536059435546562,1.353202852841429
10004,True,synthetic-010004,moderate,70,step_limit,False,20.0,0.28525731895010015,0.985737134052495,0.7649668233806683,1.2352901799284195,0.9479394440592266
10005,True,synthetic-010005,moderate,41,converged,False,20.0,0.34641977223887815,0.9826790113880561,0.7860238767952998,1.2481734339948585,1.0950290331439885
10006,True,synthetic-010006,hard,47,converged,False,20.0,0.7638110958102281,0.9618094452094885,0.7339602623909796,1.1954962167141374,1.3375634352736911
10007,True,synthetic-010007,hard,53,converged,False,20.0,1.0871294573673214,0.9456435271316339,0.6333856798971761,1.2207337651978019,1.5164359607330602
10008,True,synthetic-010008,hard,21,converged,False,20.0,0.6311064895561582,0.968444675522192,0.7303984282472239,1.1717406610786112,1.2560213417039594
10009,True,synthetic-010009,hard,33,converged,False,20.0,0.8420321626352469,0.9578983918682378,0.7263289339304522,1.1527967956559524,1.4333319529303332
10010,True,synthetic-010010,hard,47,converged,False,20.0,1.075680833051045,0.9462159583474478,0.6558988751605569,1.1824489383938621,1.370001514098074
10011,True,synthetic-010011,hard,35,converged,False,20.0,0.8444958833324397,0.957775205833378,0.6757796983043023,1.1889259226664441,1.2976488577939402
10012,True,synthetic-010012,moderate,32,converged,False,20.0,0.5061141944191594,0.9746942902790421,0.7703152575768059,1.2207817290715854,1.1278515784665335
10013,True,synthetic-010013,hard,49,converged,False,20.0,0.6746098847775553,0.9662695057611221,0.7257531346184888,1.1687860668267016,1.2583752966354524
10014,True,synthetic-010014,moderate,36,converged,False,20.0,0.40112598686744405,0.9799437006566277,0.7562115997597416,1.3643311820448238,1.0160895066332634
10015,True,synthetic-010015,moderate,70,step_limit,False,20.0,0.26896285086189203,0.9865518574569053,0.8181976361735523,1.1884430158370234,1.0763659250539286
10016,True,synthetic-010016,moderate,17,converged,False,20.0,0.5349892289033554,0.9732505385548322,0.7640834448092072,1.1858411889564038,1.199748030062903
10017,True,synthetic-010017,moderate,59,converged,False,20.0,0.26729703005715544,0.9866351484971423,0.769738067522539,1.2388151180942981,0.9961429058824492
10018,True,synthetic-010018,moderate,30,converged,False,20.0,0.45397988641299813,0.9773010056793501,0.7364873765044987,1.2384068839276323,1.0564001798917475
10019,True,synthetic-010019,moderate,21,acceptable,True,20.0,0.26232788503176335,0.9868836057484118,0.8586535224140208,1.0793960755533067,0.9788472373654348
10020,True,synthetic-010020,moderate,70,step_limit,False,20.0,0.43072262498610847,0.9784638687506945,0.7303108095315093,1.2538981609908044,1.0651197718214351
10021,True,synthetic-010021,hard,53,converged,False,20.0,0.8146246048120914,0.9592687697593953,0.6991606869127542,1.2122542334184359,1.421687700034759
10022,True,synthetic-010022,moderate,38,converged,False,20.0,0.40165692640741946,0.9799171536796291,0.7772322536846907,1.1925623072167986,1.0575492658886498
10023,True,synthetic-010023,moderate,16,acceptable,True,20.0,0.16596103207091165,0.9917019483964544,0.8523333810006763,1.2027006714221768,0.8547398124236433
10024,True,synthetic-010024,moderate,24,converged,False,20.0,0.21790794926043222,0.9891046025369784,0.780700534706155,1.2655960082193263,0.9885016331175498
10025,True,synthetic-010025,hard,46,converged,False,20.0,0.7512099808021269,0.9624395009598936,0.6491493932298215,1.3025381711881685,1.3664619779801026
10026,True,synthetic-010026,moderate,44,converged,False,20.0,0.2919366546919119,0.9854031672654043,0.7861268102554259,1.301490614861083,1.0329060189808303
10027,True,synthetic-010027,moderate,21,converged,False,20.0,0.31077649520787476,0.9844611752396062,0.794797198398364,1.3921272236750928,0.9488986271320832
10028,True,synthetic-010028,moderate,49,converged,False,20.0,0.42869958634420197,0.9785650206827899,0.7712024356693439,1.2680191129246707,1.1886390522774415
10029,True,synthetic-010029,moderate,70,step_limit,False,20.0,0.34714269107787415,0.9826428654461064,0.7641648016468763,1.2613724230380814,1.1891277542776606
10030,True,synthetic-010030,hard,60,converged,False,20.0,0.9562517555558747,0.9521874122222063,0.6008377321428792,1.1591701387575857,1.4162569372402556
10031,True,synthetic-010031,moderate,54,converged,False,20.0,0.3753057975349374,0.981234710123253,0.7544508719186959,1.2745026704300713,1.0952474091134066
10032,True,synthetic-010032,hard,70,step_limit,False,20.0,0.8580442095006516,0.9570977895249675,0.6618647234606295,1.2345687075130733,1.412833102244426
10033,True,synthetic-010033,moderate,27,converged,False,20.0,0.39510371192423843,0.9802448144037881,0.7792215211065103,1.283623132438578,1.061622025118087
10034,True,synthetic-010034,hard,19,converged,False,20.0,0.6662850664012001,0.9666857466799399,0.7318226136493811,1.1950089126960377,1.221418727032972
10035,True,synthetic-010035,moderate,70,step_limit,False,20.0,0.251152638227105,0.9874423680886448,0.796690602492914,1.2817184046078427,0.9239486819541851
10036,True,synthetic-010036,moderate,41,converged,False,20.0,0.726266310356117,0.9636866844821942,0.7492316321976897,1.161017552114964,1.2577174719947197
10037,True,synthetic-010037,moderate,70,step_limit,False,20.0,0.36104439203598554,0.9819477803982007,0.7135375380394255,1.1732722736637258,0.993448597916406
10038,True,synthetic-010038,hard,66,converged,False,20.0,0.9181171579770128,0.9540941421011494,0.6634404199786921,1.1566022066469692,1.4793572943076807
