seed,difficulty,mode,arc_like,angular_samples,angular_span_degrees,fluence_pixels,acceptable,target_d95,target_d02,maximum_oar_ratio,loss,elapsed_seconds,peak_memory_mib
19000,easy,static_4,False,4,270.0,256,True,0.9987847805023193,1.1155792474746704,0.8230322430182779,0.02068660408258438,1.8133663000771776,23.04736328125
19000,easy,static_12,False,12,330.0,768,True,1.0075122117996216,1.115565538406372,0.6038144214869935,0.00540958670899272,0.6491885000141338,65.81640625
19000,easy,arc_like_180,True,19,180.0,1216,True,1.006139874458313,1.1263210773468018,0.5972865250042407,0.005936694331467152,0.9175289000850171,103.2392578125
19000,easy,arc_like_360,True,36,350.0,2304,True,1.0110198259353638,1.11183500289917,0.5401950499542139,0.0036417567171156406,1.6646007999079302,198.8515625
19001,easy,static_4,False,4,270.0,256,True,1.0052915811538696,1.1585125923156738,0.7781545099676945,0.017838168889284134,0.6156052000587806,23.0458984375
19001,easy,static_12,False,12,330.0,768,True,1.007901906967163,1.1129716634750366,0.5181418160191887,0.002749089151620865,0.6785266000078991,65.81494140625
19001,easy,arc_like_180,True,19,180.0,1216,True,1.004523515701294,1.1282364130020142,0.5202464546833884,0.002577965846285224,0.8563842999283224,103.23779296875
19001,easy,arc_like_360,True,36,350.0,2304,True,1.0064520835876465,1.1101115942001343,0.45103564175645205,0.0014079856919124722,1.6380664999596775,198.85009765625
19002,easy,static_4,False,4,270.0,256,True,1.0033451318740845,1.2265021800994873,0.9576459062629746,0.07543215900659561,0.632511300034821,23.044921875
19002,easy,static_12,False,12,330.0,768,True,1.0129448175430298,1.1841827630996704,0.6499192431685088,0.036725446581840515,0.6527940999949351,65.81396484375
19002,easy,arc_like_180,True,19,180.0,1216,True,1.0111159086227417,1.1737606525421143,0.6076006876672226,0.03304276242852211,0.8540584000293165,103.23681640625
19002,easy,arc_like_360,True,36,350.0,2304,True,1.008495807647705,1.1791836023330688,0.5898375000151173,0.03160606324672699,1.6424799000378698,198.84912109375
19003,easy,static_4,False,4,270.0,256,False,0.9932180047035217,1.2598639726638794,1.020757511709815,0.11589481681585312,0.644592999946326,23.04736328125
19003,easy,static_12,False,12,330.0,768,True,0.998531699180603,1.1934130191802979,0.7732121483749604,0.06217648833990097,0.6544338999083266,65.81640625
19003,easy,arc_like_180,True,19,180.0,1216,True,1.000588297843933,1.1859595775604248,0.7471032734275352,0.05941326916217804,0.8680119999917224,103.2392578125
19003,easy,arc_like_360,True,36,350.0,2304,True,0.9988921284675598,1.1874949932098389,0.7319425198708636,0.056176938116550446,1.659823999973014,198.8515625
