environment_version,seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
0.2,10000,True,synthetic-010000,moderate,7,acceptable,True,70.0,0.3064556560712915,0.9956220620561244,0.8818333820075732,1.1304065014898688,0.8268877264357825
0.2,10001,True,synthetic-010001,easy,13,acceptable,True,70.0,0.20947914531754275,0.997007440781178,0.9116937347129124,1.1949255224061557,0.9679701037659872
0.2,10002,True,synthetic-010002,easy,21,converged,False,70.0,0.3116146989763746,0.9955483614431947,0.9133496404360804,1.1705138070662575,1.0423472687315853
0.2,10003,True,synthetic-010003,easy,70,step_limit,False,70.0,0.47071144314762386,0.9932755508121769,0.844927650801939,1.1905750101156625,1.2572046089681292
0.2,10004,True,synthetic-010004,moderate,15,acceptable,True,70.0,0.29701018834483933,0.9957569973093594,0.8790128574811971,1.2396684001617322,0.989550856693769
0.2,10005,True,synthetic-010005,moderate,18,acceptable,True,70.0,0.38385098019921443,0.9945164145685826,0.8631605312013475,1.2299539289214885,0.9418970576762852
0.2,10006,True,synthetic-010006,moderate,62,converged,False,70.0,0.4285834060574528,0.9938773799134649,0.8849453716656677,1.2356270906515638,1.0891325732782549
0.2,10007,True,synthetic-010007,moderate,70,step_limit,False,70.0,0.6308078994250327,0.9909884585796424,0.863563739432088,1.2759945839635933,1.268343896269456
0.2,10008,True,synthetic-010008,moderate,44,converged,False,70.0,0.35842147282609577,0.9948796932453415,0.9127245227807976,1.1537706655606357,1.2117197111119475
0.2,10009,True,synthetic-010009,moderate,26,converged,False,70.0,0.38888196837135486,0.9944445433089807,0.8981304281204078,1.1155557154014066,1.173397766819641
0.2,10010,True,synthetic-010010,moderate,54,converged,False,70.0,0.6272266106451814,0.991039619847926,0.8406764003783632,1.235321341840099,1.181099262825869
0.2,10011,True,synthetic-010011,moderate,56,converged,False,70.0,0.5926711241692221,0.9915332696547253,0.8668595877030096,1.1720703291562304,1.2524317572480075
0.2,10012,True,synthetic-010012,moderate,34,converged,False,70.0,0.35106850378424076,0.994984735660225,0.8905543606149593,1.2351285185778107,1.0850852691639032
0.2,10013,True,synthetic-010013,easy,32,converged,False,70.0,0.2905806970916938,0.9958488471844044,0.9080193095882471,1.1510461599143642,1.0705584364420853
0.2,10014,True,synthetic-010014,moderate,51,converged,False,70.0,0.40253466742891114,0.9942495047510156,0.8857912700998634,1.2649925993211941,1.0963002257930925
0.2,10015,True,synthetic-010015,moderate,45,converged,False,70.0,0.20983470452196018,0.9970023613639719,0.9176768709366864,1.1224905839936323,1.0288007038152465
0.2,10016,True,synthetic-010016,moderate,43,converged,False,70.0,0.4523037383455616,0.9935385180236348,0.8755578154057484,1.2015214129307206,1.0877099897977291
0.2,10017,True,synthetic-010017,moderate,12,acceptable,True,70.0,0.3118023555995402,0.9955456806342923,0.883974329176732,1.231716536711951,0.7876642530004508
0.2,10018,True,synthetic-010018,moderate,50,converged,False,70.0,0.3068612311622836,0.995616268126253,0.8825760595760785,1.1898509523184853,1.0178966776436935
0.2,10019,True,synthetic-010019,easy,23,converged,False,70.0,0.23232996776867762,0.9966810004604475,0.9355463421566139,1.1184736931465658,1.039772714556885
0.2,10020,True,synthetic-010020,easy,70,step_limit,False,70.0,0.28017163344286455,0.9959975480936734,0.9231708238735212,1.1931647308208193,1.0422258185612727
0.2,10021,True,synthetic-010021,moderate,70,step_limit,False,70.0,0.5861323176191251,0.9916266811768696,0.8509156554020391,1.2573633283804253,1.226264211298031
0.2,10022,True,synthetic-010022,moderate,16,acceptable,True,70.0,0.32738890367260126,0.99532301566182,0.8993603366596973,1.1498796752628389,0.9936334486054254
0.2,10023,True,synthetic-010023,moderate,14,acceptable,True,70.0,0.2542981507136469,0.9963671692755193,0.8655787489057153,1.2414626521599759,0.8876301653249244
0.2,10024,True,synthetic-010024,easy,13,acceptable,True,70.0,0.2486511310249875,0.9964478409853573,0.8960807402339304,1.2369994878336656,0.8651934635734398
0.2,10025,True,synthetic-010025,easy,45,converged,False,70.0,0.539113026000351,0.9922983853428521,0.8883127604815588,1.213263506522713,1.28985115774185
0.2,10026,True,synthetic-010026,moderate,41,converged,False,70.0,0.2967219736985746,0.9957611146614488,0.8958172268624462,1.214048261715026,1.0344623155977197
0.2,10027,True,synthetic-010027,easy,56,converged,False,70.0,0.3739114215869288,0.994658408263044,0.8806294807567976,1.2595366569581725,1.0272119219296825
0.2,10028,True,synthetic-010028,moderate,40,converged,False,70.0,0.31403990625602335,0.9955137156249139,0.9007143810026383,1.238397281660542,1.0822155023550464
0.2,10029,True,synthetic-010029,moderate,70,step_limit,False,70.0,0.3601007174799243,0.9948557040360011,0.8877329112819647,1.2497685713304418,1.1654733630805139
