training_seed,case_id,case_seed,difficulty,condition,acceptable,violation_score,canonical_objective,high_level_actions,stopping_reason
3,synthetic3d-018012,18012,easy,endpoint_direct,False,0.0952397732571737,0.11583164217881858,1,direct_terminal_settings
3,synthetic3d-018012,18012,easy,trajectory_policy,False,0.20950965349112316,0.17777806853700895,1,policy_stop
3,synthetic3d-018001,18001,moderate,endpoint_direct,True,0.0,0.1964419340947643,1,direct_terminal_settings
3,synthetic3d-018001,18001,moderate,trajectory_policy,False,0.21334161548125175,0.3396331417025067,1,policy_stop
3,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.2151054527848828,1,direct_terminal_settings
3,synthetic3d-018022,18022,moderate,trajectory_policy,False,0.16195722024624848,0.36245016744942404,1,policy_stop
4,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.024315455029864097,1,direct_terminal_settings
4,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.044497404578578426,1,acceptable
4,synthetic3d-018032,18032,hard,endpoint_direct,False,0.12539857798267887,0.3157109698804561,1,direct_terminal_settings
4,synthetic3d-018032,18032,hard,trajectory_policy,False,0.3064111103060141,0.39579214848345146,3,policy_stop
4,synthetic3d-018015,18015,easy,endpoint_direct,True,0.0,0.04894185010925867,1,direct_terminal_settings
4,synthetic3d-018015,18015,easy,trajectory_policy,False,0.02902031668189098,0.08644736743008252,1,policy_stop
4,synthetic3d-018018,18018,easy,endpoint_direct,True,0.0,0.03539089473633794,1,direct_terminal_settings
4,synthetic3d-018018,18018,easy,trajectory_policy,True,0.0,0.05539059973671101,1,acceptable
4,synthetic3d-018025,18025,moderate,endpoint_direct,True,0.0,0.08622018947789911,1,direct_terminal_settings
4,synthetic3d-018025,18025,moderate,trajectory_policy,True,0.0,0.17247933917133196,1,acceptable
4,synthetic3d-018012,18012,easy,endpoint_direct,False,0.09808537146407748,0.11547421672730707,1,direct_terminal_settings
4,synthetic3d-018012,18012,easy,trajectory_policy,False,0.20950942266712835,0.17777807093807496,1,policy_stop
4,synthetic3d-018001,18001,moderate,endpoint_direct,True,0.0,0.2391188801266253,1,direct_terminal_settings
4,synthetic3d-018001,18001,moderate,trajectory_policy,False,0.2133418655336805,0.33963319699978456,1,policy_stop
4,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.2156583680834956,1,direct_terminal_settings
4,synthetic3d-018022,18022,moderate,trajectory_policy,False,0.16195744981321725,0.3624502649472561,1,policy_stop
