step,manual_action,active_angles,target_d95,target_d02,oar_1_ratio,oar_2_ratio,loss
0,Initial 4 beams,0|90|180|270,0.8203099370002747,1.1301158666610718,1.2124638736522357,1.1735363265866943,0.39120719860875397
1,Increase OAR 1 priority,0|90|180|270,0.8035901188850403,1.191956877708435,1.1181945015623682,1.1449212885185263,0.40593891259049997
2,Add 30° beam,0|30|90|180|270,0.8350163102149963,1.1570563316345215,0.98510407535563,1.0454718045130091,0.34262833243701607
3,Increase OAR 2 priority,0|30|90|180|270,0.8320040702819824,1.1224390268325806,0.9518645375570788,0.9529529666048275,0.3982811270907405
4,Increase target priority,0|30|90|180|270,0.8762058615684509,1.1146353483200073,0.9811222776099358,0.9779274104836012,0.45592759372993896
