training_seed,condition,case_id,case_seed,difficulty,acceptable,violation_score,high_level_actions,stopping_reason
0,trajectory,synthetic3d-101567,101567,easy,True,0.0,4,acceptable
0,trajectory,synthetic3d-103545,103545,moderate,False,0.26729825529095597,10,policy_step_limit
0,trajectory,synthetic3d-104173,104173,easy,False,0.2987867827920887,10,policy_step_limit
0,trajectory,synthetic3d-101275,101275,moderate,False,0.04099588394165039,10,policy_step_limit
0,trajectory,synthetic3d-101566,101566,hard,False,0.29709553218802176,10,policy_step_limit
0,trajectory,synthetic3d-103428,103428,easy,True,0.0,1,acceptable
0,trajectory,synthetic3d-108703,108703,hard,False,0.23570765007007832,10,policy_step_limit
0,trajectory,synthetic3d-108267,108267,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-101622,101622,moderate,True,0.0,5,acceptable
0,trajectory,synthetic3d-103177,103177,hard,False,0.446163221500417,10,policy_step_limit
0,trajectory,synthetic3d-100182,100182,easy,True,0.0,1,acceptable
0,trajectory,synthetic3d-101763,101763,moderate,False,0.07117757797241211,10,policy_step_limit
0,trajectory,synthetic3d-101921,101921,hard,False,0.20288742318106245,10,policy_step_limit
0,trajectory,synthetic3d-106905,106905,easy,True,0.0,1,acceptable
0,trajectory,synthetic3d-102905,102905,moderate,True,0.0,1,acceptable
0,trajectory,synthetic3d-108948,108948,hard,False,0.4877882061977512,10,policy_step_limit
0,trajectory,synthetic3d-103574,103574,easy,False,0.24725030618670285,10,policy_step_limit
0,trajectory,synthetic3d-101788,101788,moderate,True,0.0,2,acceptable
0,trajectory,synthetic3d-103369,103369,easy,True,0.0,1,acceptable
0,trajectory,synthetic3d-107906,107906,moderate,True,0.0,3,acceptable
0,trajectory,synthetic3d-100040,100040,easy,True,0.0,3,acceptable
0,trajectory,synthetic3d-108746,108746,moderate,False,0.26598094324950483,10,policy_step_limit
0,trajectory,synthetic3d-106762,106762,easy,True,0.0,1,acceptable
0,trajectory,synthetic3d-100882,100882,moderate,False,0.008076000213623046,10,policy_step_limit
0,trajectory,synthetic3d-107427,107427,easy,True,0.0,1,acceptable
0,trajectory,synthetic3d-100326,100326,moderate,False,0.19268774176511122,10,policy_step_limit
0,trajectory,synthetic3d-107125,107125,easy,True,0.0,3,acceptable
0,trajectory,synthetic3d-105237,105237,moderate,False,0.2833985888612791,10,policy_step_limit
0,trajectory,synthetic3d-101320,101320,hard,False,0.30530480579674846,10,policy_step_limit
0,trajectory,synthetic3d-104063,104063,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-100018,100018,moderate,False,0.2351875204218644,10,policy_step_limit
0,trajectory,synthetic3d-108121,108121,easy,True,0.0,1,acceptable
0,trajectory,synthetic3d-106955,106955,moderate,False,0.027884711675327578,10,policy_step_limit
0,trajectory,synthetic3d-100319,100319,hard,False,0.2925299384224427,10,policy_step_limit
0,trajectory,synthetic3d-102031,102031,easy,True,0.0,1,acceptable
0,trajectory,synthetic3d-102703,102703,moderate,True,0.0,9,acceptable
0,trajectory,synthetic3d-103425,103425,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-108206,108206,moderate,True,0.0,2,acceptable
0,trajectory,synthetic3d-101444,101444,hard,False,0.08783419721770924,10,policy_step_limit
0,trajectory,synthetic3d-108331,108331,easy,True,0.0,1,acceptable
0,trajectory,synthetic3d-103884,103884,moderate,False,0.06498689651489258,10,policy_step_limit
0,trajectory,synthetic3d-106524,106524,easy,True,0.0,1,acceptable
