training_seed,condition,case_id,case_seed,difficulty,acceptable,violation_score,high_level_actions,action_sequence,stopping_reason,target_d95_initial,target_d95_final,target_d02_initial,target_d02_final,oar_0_mean_initial,oar_0_mean_final,oar_1_mean_initial,oar_1_mean_final,oar_2_mean_initial,oar_2_mean_final,final_beam_angles_degrees,final_target_priority,final_hotspot_priority,final_oar_priorities
5,endpoint,prostate3d-101567,101567,easy,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.343228816986084,0.9820765852928162,1.6357473134994507,1.1699854135513306,0.16919031739234924,0.17504006624221802,0.4425257444381714,0.3308936059474945,0.7330600619316101,0.3115962743759155,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-101622,101622,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.2997896671295166,0.9576336741447449,1.7186251878738403,1.2187291383743286,0.2354893982410431,0.20079059898853302,0.6337423920631409,0.38160496950149536,0.5131357908248901,0.32283446192741394,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-101763,101763,moderate,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.4138277769088745,0.9790414571762085,1.5812745094299316,1.1552295684814453,0.14702315628528595,0.12028741836547852,0.7014867663383484,0.39485323429107666,0.6904618740081787,0.3291776776313782,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-101788,101788,moderate,True,0.0,5,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.231977939605713,0.9361233115196228,1.5747418403625488,1.1208810806274414,0.2190924733877182,0.27086520195007324,0.5049058794975281,0.35020697116851807,0.7101300954818726,0.32664963603019714,0|90|180|240,1.0,5.359375,1.0|1.0|1.0
5,endpoint,prostate3d-101921,101921,hard,False,0.11131109297275543,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|decrease_oar_2_priority|decrease_oar_2_priority,policy_step_limit,1.0138510465621948,0.9319688677787781,1.6454335451126099,1.1255035400390625,0.46062299609184265,0.5334293246269226,0.6360934972763062,0.414009153842926,0.5734307169914246,0.3077523410320282,0|90|180|240,1.0,25.0,1.0|1.0|0.5
5,endpoint,prostate3d-102031,102031,easy,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.4034923315048218,0.9593152403831482,1.6544345617294312,1.1234058141708374,0.139252170920372,0.09941112995147705,0.4860616624355316,0.289042592048645,0.7211931347846985,0.33447274565696716,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-102113,102113,hard,False,0.3219875658259672,10,remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority|decrease_oar_2_priority,policy_step_limit,0.9385634660720825,0.964758038520813,1.5557125806808472,1.1172001361846924,0.4025702178478241,0.5026452541351318,0.6652028560638428,0.5233603715896606,0.6295810341835022,0.3690205514431,0|90|150|180,1.0,25.0,1.0|1.0|0.5
5,endpoint,prostate3d-102428,102428,hard,True,0.0,1,add_beam_8,acceptable,1.1389669179916382,0.9505094885826111,1.570064663887024,1.2295410633087158,0.578469455242157,0.44784969091415405,0.5827791690826416,0.4303762912750244,0.5650359988212585,0.3276791572570801,0|90|180|240|270,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-102905,102905,moderate,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.2594997882843018,0.9590087532997131,1.7095746994018555,1.1928174495697021,0.33377310633659363,0.23604242503643036,0.523898184299469,0.39737698435783386,0.5380299091339111,0.23543116450309753,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-103177,103177,hard,False,0.4439409287802465,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority,policy_step_limit,0.871364414691925,0.9465145468711853,1.529619812965393,1.0545037984848022,0.45113468170166016,0.5426645874977112,0.7491687536239624,0.5405139923095703,0.6466431021690369,0.36888259649276733,0|90|150|180|240,1.0,25.0,1.0|1.0|0.5714285714285714
