training_seed,case_id,case_seed,difficulty,condition,acceptable,violation_score,canonical_objective,high_level_actions,stopping_reason
3,synthetic3d-018012,18012,easy,endpoint_direct,False,0.09523988866917099,0.11583159473957494,1,direct_terminal_settings
3,synthetic3d-018012,18012,easy,trajectory_policy,False,0.20950965349112316,0.17777807188394945,1,policy_stop
3,synthetic3d-018001,18001,moderate,endpoint_direct,True,0.0,0.19644188185338862,1,direct_terminal_settings
3,synthetic3d-018001,18001,moderate,trajectory_policy,False,0.2133418655336805,0.3396332233387511,1,policy_stop
3,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.2152143923785843,1,direct_terminal_settings
3,synthetic3d-018022,18022,moderate,trajectory_policy,False,0.1624709090987133,0.35081840556813404,1,policy_stop
4,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.024315450373251224,1,direct_terminal_settings
4,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.04449740978088812,1,acceptable
4,synthetic3d-018032,18032,hard,endpoint_direct,False,0.12539868265277546,0.31571093350066803,1,direct_terminal_settings
4,synthetic3d-018032,18032,hard,trajectory_policy,False,0.16863412792776997,0.4092619806760922,4,policy_stop
4,synthetic3d-018015,18015,easy,endpoint_direct,True,0.0,0.04894185665762052,1,direct_terminal_settings
4,synthetic3d-018015,18015,easy,trajectory_policy,False,0.02902031668189098,0.08644734451081604,1,policy_stop
4,synthetic3d-018018,18018,easy,endpoint_direct,True,0.0,0.035390883131185547,1,direct_terminal_settings
4,synthetic3d-018018,18018,easy,trajectory_policy,True,0.0,0.05539058409340214,1,acceptable
4,synthetic3d-018025,18025,moderate,endpoint_direct,True,0.0,0.08622021432529436,1,direct_terminal_settings
4,synthetic3d-018025,18025,moderate,trajectory_policy,True,0.0,0.17247938668333518,1,acceptable
4,synthetic3d-018012,18012,easy,endpoint_direct,False,0.0980806395721856,0.1154739412595518,1,direct_terminal_settings
4,synthetic3d-018012,18012,easy,trajectory_policy,False,0.20950965349112316,0.17777807130187284,1,policy_stop
4,synthetic3d-018001,18001,moderate,endpoint_direct,True,0.0,0.2391189060290344,1,direct_terminal_settings
4,synthetic3d-018001,18001,moderate,trajectory_policy,False,0.2133418655336805,0.3396332672855351,1,policy_stop
4,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.21530417358917475,1,direct_terminal_settings
4,synthetic3d-018022,18022,moderate,trajectory_policy,False,0.1619573377831791,0.36245018476620317,1,policy_stop
