condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss,diagnostic_action_cross_entropy,diagnostic_action_accuracy
endpoint,0,1,0.2840265929698944,0.5,0.14347341991090581,7.25,0.21118788421154022,-5.358612537384033,0.0,3.6534433364868164,0.011148272082209587
endpoint,0,2,0.6968724131584167,0.75,0.013127613067626952,4.0,0.21144269406795502,-5.203276634216309,0.0,3.627837657928467,0.007803790736943483
endpoint,0,3,0.2576029300689697,0.5,0.1748970781043307,6.75,0.21181073784828186,-6.575830936431885,0.0,3.6090097427368164,0.006688963621854782
endpoint,0,4,0.6781195402145386,0.75,0.016880458811323162,5.5,0.21250325441360474,-3.9952521324157715,0.0,3.619018793106079,0.007803790736943483
endpoint,0,5,0.6253392696380615,0.75,0.07216074185818082,5.25,0.21358494460582733,-5.032321453094482,0.0,3.640491008758545,0.008918617852032185
endpoint,0,6,0.6018320918083191,0.75,0.10566791448656537,4.25,0.213675394654274,-6.5533552169799805,0.0,3.6781184673309326,0.003344481810927391
endpoint,0,7,0.5648969411849976,0.75,0.1451030941996611,4.0,0.2136668711900711,-7.676505088806152,0.0,3.7204179763793945,0.003344481810927391
endpoint,0,8,0.6049224138259888,0.75,0.09757756163601014,4.75,0.21356669068336487,-5.770796775817871,0.0,3.7595396041870117,0.0
endpoint,0,9,0.6110363602638245,0.75,0.09896365552811964,4.0,0.2139763981103897,-6.088703155517578,0.0,3.8077194690704346,0.0
endpoint,0,10,0.6525947451591492,0.75,0.042405300306786575,5.5,0.21488481760025024,-3.913524627685547,0.0,3.859917163848877,0.0
endpoint,0,11,0.2093193680047989,0.5,0.21318063219157313,7.75,0.21520379185676575,-4.766761302947998,0.0,3.9294958114624023,0.0
endpoint,0,12,0.364845335483551,0.5,0.07765468426238162,5.75,0.2157195806503296,-6.760095119476318,0.0,3.997343063354492,0.0
endpoint,0,13,0.9700000286102295,1.0,0.0,3.0,0.2177480161190033,-0.034081339836120605,0.0,4.059178829193115,0.0
