step,beam_index,beamlet_across_field,intensity_change,objective_before,objective_after,target_d95,target_d02,oar_1_mean,oar_2_mean
1,8,4,0.3,48.9,39.63190923561384,0.04759948831900527,0.2463401176592849,0.005637025853354811,0.017366480188125075
2,10,3,0.3,39.63190923561384,28.110402509342304,0.17949501401228599,0.44407062024427174,0.11423266680277157,0.03966485492627645
3,5,3,0.3,28.110402509342304,16.228056669694052,0.35255566542585154,0.5067746822616408,0.1444257002496481,0.1693520589176356
4,6,4,0.3,16.228056669694052,9.26326272237806,0.464298059003344,0.7106364353834862,0.2908141297079175,0.3065516778203443
5,11,4,0.3,9.26326272237806,3.629390818747248,0.6187724910390946,0.8717724894482219,0.32485617623385976,0.41237542626937235
6,10,3,0.3,3.629390818747248,1.1175827582814426,0.7286671185725112,0.9641161376956096,0.43345181718327647,0.4346738010075238
7,9,4,0.3,1.1175827582814426,0.15734054276114434,0.8984982875274756,1.1697274073836295,0.4359689919591558,0.47833368296357726
