environment_version,seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
0.2,10000,True,synthetic-010000,moderate,7,acceptable,True,35.0,0.22506005765412693,0.9935697126384535,0.8838791674037032,1.146997503066768,0.8269359620972477
0.2,10001,True,synthetic-010001,easy,9,acceptable,True,35.0,0.18905912761309634,0.9945983106396258,0.8644714310375033,1.1375943688293513,0.9674197498991826
0.2,10002,True,synthetic-010002,easy,19,converged,False,35.0,0.2520504596769447,0.9927985582949445,0.8888386201629229,1.172029184750921,1.0277149509675236
0.2,10003,True,synthetic-010003,easy,67,converged,False,35.0,0.3152821663874786,0.990991938103215,0.8062282904431071,1.2039351398710776,1.1408898437443669
0.2,10004,True,synthetic-010004,moderate,11,acceptable,True,35.0,0.20005770098198267,0.9942840656862292,0.8674503134283924,1.241437925434896,0.9397005963086532
0.2,10005,True,synthetic-010005,moderate,35,acceptable,True,35.0,0.23202419739495492,0.993370737217287,0.8517267544886754,1.2481024367854072,0.8344931405152832
0.2,10006,True,synthetic-010006,moderate,67,converged,False,35.0,0.29401669816463727,0.9915995229095818,0.8508058440744941,1.2521092350715894,0.9662886520811008
0.2,10007,True,synthetic-010007,moderate,47,converged,False,35.0,0.47423272476607436,0.9864504935781121,0.8162087390720638,1.3418406291776204,1.2116907270223503
0.2,10008,True,synthetic-010008,moderate,18,converged,False,35.0,0.283443261926768,0.9919016210878066,0.8688116371331883,1.144563614888952,1.0599183743672695
0.2,10009,True,synthetic-010009,moderate,29,converged,False,35.0,0.30802326320607737,0.9911993353369694,0.8599463008912478,1.1388396017733922,1.0954938881770577
0.2,10010,True,synthetic-010010,moderate,63,converged,False,35.0,0.45630914113106563,0.9869625959676839,0.794682359749626,1.287487988516309,1.046684421401723
0.2,10011,True,synthetic-010011,moderate,27,converged,False,35.0,0.48349592306882855,0.986185830769462,0.8370492612186238,1.185445668357275,1.1939916379894793
0.2,10012,True,synthetic-010012,moderate,35,converged,False,35.0,0.2688627624096313,0.9923182067882962,0.8605717076102091,1.210072349073864,1.0702258274330023
0.2,10013,True,synthetic-010013,easy,39,converged,False,35.0,0.21434143665184938,0.9938759589528043,0.8853338938257858,1.141412612667568,1.0400030693677347
0.2,10014,True,synthetic-010014,moderate,46,converged,False,35.0,0.2848425857261832,0.9918616404078234,0.8479640891313943,1.2833229412120062,0.9687426036984607
0.2,10015,True,synthetic-010015,moderate,47,converged,False,35.0,0.20414888267680956,0.9941671747806625,0.8896544974241161,1.1533572487183097,1.0639899288229817
0.2,10016,True,synthetic-010016,moderate,35,converged,False,35.0,0.3368451532604871,0.9903758527639862,0.8544858466001133,1.1809484240833155,1.0469165431490886
0.2,10017,True,synthetic-010017,moderate,12,acceptable,True,35.0,0.1986804201312331,0.9943234165676791,0.8729271828807434,1.241096395591997,0.7652956135473679
0.2,10018,True,synthetic-010018,moderate,9,acceptable,True,35.0,0.26481013897148004,0.9924339960293864,0.8742626700217124,1.2373108030657203,0.9989396272031846
0.2,10019,True,synthetic-010019,easy,10,acceptable,True,35.0,0.3033637374866681,0.991332464643238,0.8504788873196816,1.08285217256842,0.9899102931987522
0.2,10020,True,synthetic-010020,easy,18,acceptable,True,35.0,0.25540712084580297,0.9927026536901199,0.856971659888505,1.2206828964466774,0.9940272162082209
0.2,10021,True,synthetic-010021,moderate,70,step_limit,False,35.0,0.3984479681639809,0.988615772338172,0.8184194522427787,1.2366937519106664,1.1526712218126163
0.2,10022,True,synthetic-010022,moderate,14,acceptable,True,35.0,0.285436726242218,0.9918446649645081,0.8506947673393158,1.1736984393168284,0.983507906155815
0.2,10023,True,synthetic-010023,moderate,17,acceptable,True,35.0,0.13156788407055048,0.9962409175979843,0.8644742521110144,1.2118186355922962,0.7640988907115228
0.2,10024,True,synthetic-010024,easy,13,acceptable,True,35.0,0.17181969068298344,0.9950908659804862,0.8761360450113539,1.2339052002369317,0.8016854853292742
0.2,10025,True,synthetic-010025,easy,39,converged,False,35.0,0.42695401332917793,0.9878013139048806,0.8292315567717508,1.286900753360203,1.1699547410884827
0.2,10026,True,synthetic-010026,moderate,25,acceptable,True,35.0,0.2177578239065092,0.9937783478883855,0.8692790259279157,1.2368029499741353,0.9765185381228811
0.2,10027,True,synthetic-010027,easy,45,converged,False,35.0,0.25623254205810914,0.9926790702269113,0.8695925340402996,1.307365627039875,0.9158559079333656
0.2,10028,True,synthetic-010028,moderate,61,converged,False,35.0,0.22243614278369384,0.9936446816347516,0.8756895247879344,1.2449791162657833,1.0530075446606821
0.2,10029,True,synthetic-010029,moderate,70,step_limit,False,35.0,0.25425595371651116,0.9927355441795284,0.8583205375276266,1.2127201506037482,1.108000292534237
