training_seed,case_id,case_seed,difficulty,condition,acceptable,violation_score,canonical_objective,high_level_actions,stopping_reason
3,synthetic3d-018001,18001,moderate,endpoint_direct,True,0.0,0.19644188607344404,1,direct_terminal_settings
3,synthetic3d-018001,18001,moderate,trajectory_policy,True,0.0,0.26799400511663407,5,acceptable
3,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.2152143798639372,1,direct_terminal_settings
3,synthetic3d-018022,18022,moderate,trajectory_policy,True,0.0,0.2641994343139231,7,acceptable
4,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.02431543944112491,1,direct_terminal_settings
4,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.044497411563497735,1,acceptable
4,synthetic3d-018032,18032,hard,endpoint_direct,False,0.12539878732287205,0.315710930590285,1,direct_terminal_settings
4,synthetic3d-018032,18032,hard,trajectory_policy,False,0.004390811920166016,0.44908637064509094,10,policy_step_limit
4,synthetic3d-018015,18015,easy,endpoint_direct,True,0.0,0.04894189376500435,1,direct_terminal_settings
4,synthetic3d-018015,18015,easy,trajectory_policy,True,0.0,0.0738033115703729,5,acceptable
4,synthetic3d-018018,18018,easy,endpoint_direct,True,0.0,0.035390871853451245,1,direct_terminal_settings
4,synthetic3d-018018,18018,easy,trajectory_policy,True,0.0,0.05539056168345269,1,acceptable
4,synthetic3d-018025,18025,moderate,endpoint_direct,True,0.0,0.08667548550874926,1,direct_terminal_settings
4,synthetic3d-018025,18025,moderate,trajectory_policy,True,0.0,0.17247933114049374,1,acceptable
4,synthetic3d-018012,18012,easy,endpoint_direct,False,0.09808537146407748,0.11547422327566892,1,direct_terminal_settings
4,synthetic3d-018012,18012,easy,trajectory_policy,False,0.05282147857153929,0.18807753105647862,10,policy_step_limit
4,synthetic3d-018001,18001,moderate,endpoint_direct,True,0.0,0.23911888798465952,1,direct_terminal_settings
4,synthetic3d-018001,18001,moderate,trajectory_policy,True,0.0,0.22455230748164468,8,acceptable
4,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.21565836963873153,1,direct_terminal_settings
4,synthetic3d-018022,18022,moderate,trajectory_policy,False,0.011572092638293396,0.24036281178268837,10,policy_step_limit
