condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss
endpoint,0,1,-0.18562813103199005,0.25,0.33562811364135325,10.0,0.0466480627655983,-2.690589666366577,0.0
endpoint,0,2,0.2604072690010071,0.5,0.14959270826304383,9.0,0.04670710489153862,-1.9622154235839844,0.0
endpoint,0,3,0.9575000405311584,1.0,0.0,4.25,0.04655446484684944,-0.13591749966144562,0.0
endpoint,0,4,0.3415989279747009,0.5,0.09840106095236112,6.0,0.046130161732435226,-6.191112995147705,0.0
endpoint,0,5,0.3224806785583496,0.5,0.11001934064806186,6.75,0.046117737889289856,-5.975841999053955,0.0
endpoint,0,6,-0.50116366147995,0.0,0.4011636608417547,10.0,0.04600773751735687,0.18092617392539978,0.0
endpoint,0,7,0.308320552110672,0.5,0.11417945659497399,7.75,0.045790933072566986,-2.09708833694458,0.0
endpoint,0,8,0.2883017957210541,0.5,0.1491982155297163,6.25,0.04556656628847122,-5.218489646911621,0.0
endpoint,0,9,0.2975807785987854,0.5,0.13991921001772478,6.25,0.04618939384818077,-4.458454132080078,0.0
endpoint,0,10,0.9550000429153442,1.0,0.0,4.5,0.045650508254766464,-0.09817029535770416,0.0
endpoint,0,11,0.565332293510437,0.75,0.13716775998935765,4.75,0.04485422745347023,-4.022654056549072,0.0
endpoint,0,12,-0.10305650532245636,0.25,0.27305650148309824,8.0,0.04620207101106644,-4.692048072814941,0.0
endpoint,0,13,0.3736391067504883,0.5,0.06636090451320031,6.0,0.04695243760943413,-5.477956771850586,0.0
endpoint,0,14,0.3618553578853607,0.5,0.07564465345064403,6.25,0.04558602347970009,-5.5258355140686035,0.0
endpoint,0,15,-0.04003031551837921,0.25,0.19503032193761521,9.5,0.04481600224971771,-1.1139068603515625,0.0
endpoint,0,16,0.2624860405921936,0.5,0.17751397825768161,6.0,0.044292230159044266,-4.618790626525879,0.0
endpoint,0,17,0.3285825848579407,0.5,0.10391739789783955,6.75,0.044839926064014435,-5.092623710632324,0.0
endpoint,0,18,0.3013036549091339,0.5,0.118696348057031,8.0,0.04538979008793831,-3.011782646179199,0.0
endpoint,0,19,0.5658162832260132,0.75,0.12418375139605863,6.0,0.04397337883710861,-7.461764335632324,0.0
endpoint,0,20,0.31976908445358276,0.5,0.1102308973917657,7.0,0.04323193058371544,-3.4843969345092773,0.0
endpoint,0,21,0.9800000190734863,1.0,0.0,2.0,0.043842900544404984,0.0,0.0
endpoint,0,22,0.6656776666641235,0.75,0.029322320227252285,5.5,0.04425919055938721,-2.6185569763183594,0.0
endpoint,0,23,0.6450017690658569,0.75,0.04999825806210256,5.5,0.0432211309671402,-3.2663981914520264,0.0
endpoint,0,24,-0.09965983033180237,0.25,0.26965983958880296,8.0,0.04259578883647919,-5.187252521514893,0.0
endpoint,0,25,0.640345573425293,0.75,0.06715442148987744,4.25,0.042940281331539154,-2.637542724609375,0.0
endpoint,0,26,0.6196755766868591,0.75,0.05032441315450509,8.0,0.043603938072919846,0.2547571659088135,0.0
endpoint,0,27,0.21466831862926483,0.5,0.20533166536579472,8.0,0.04250207170844078,-4.098869800567627,0.0
endpoint,0,28,0.3359300494194031,0.5,0.07406997320140946,9.0,0.04135604202747345,-2.433300018310547,0.0
endpoint,0,29,0.9550000429153442,1.0,0.0,4.5,0.04189113900065422,-0.28209221363067627,0.0
endpoint,0,30,0.6774121522903442,0.75,0.017587893456890102,5.5,0.04270415008068085,-3.11641263961792,0.0
trajectory,0,1,0.06139889359474182,0.25,0.09110111909754134,9.75,0.027649519965052605,-0.9488057494163513,0.2222084105014801
trajectory,0,2,-0.07348719239234924,0.25,0.233487196808486,9.0,0.030157888308167458,-0.6348418593406677,0.3114023208618164
trajectory,0,3,0.9700000286102295,1.0,0.0,3.0,0.029562272131443024,-0.007505166344344616,0.29028162360191345
trajectory,0,4,0.6609384417533875,0.75,0.04406158684836609,4.5,0.0286845900118351,-0.39478880167007446,0.29831814765930176
trajectory,0,5,0.6531434059143066,0.75,0.04435663588819261,5.25,0.029230084270238876,-0.4934152662754059,0.3366073966026306
trajectory,0,6,0.019535869359970093,0.25,0.14046413470752464,9.0,0.030246620997786522,-0.4857446253299713,0.3217107653617859
trajectory,0,7,0.2671520709991455,0.5,0.14534788979781327,8.75,0.029380422085523605,-0.4922950267791748,0.26506853103637695
trajectory,0,8,0.6914851665496826,0.75,0.0010148321881013694,5.75,0.030291587114334106,-1.6008888483047485,0.29197561740875244
trajectory,0,9,0.6527586579322815,0.75,0.024741353122939076,7.25,0.030393410474061966,-0.3687858581542969,0.2918085753917694
trajectory,0,10,0.5685482025146484,0.75,0.12895180956182806,5.25,0.02970884181559086,-1.1350611448287964,0.27879947423934937
trajectory,0,11,0.23288224637508392,0.5,0.1996177588875188,6.75,0.028644703328609467,-0.930790901184082,0.29247143864631653
trajectory,0,12,0.3532474935054779,0.5,0.06925252707192166,7.75,0.028120074421167374,-0.5994161367416382,0.3637610077857971
trajectory,0,13,0.2920447587966919,0.5,0.1404552480905199,6.75,0.028862839564681053,-0.7848742604255676,0.42893314361572266
trajectory,0,14,0.3409728407859802,0.5,0.09652718621199977,6.25,0.028135832399129868,-0.816519558429718,0.3615223169326782
trajectory,0,15,0.06878283619880676,0.25,0.08871716608121115,9.25,0.02731216326355934,-0.21471431851387024,0.3227379322052002
trajectory,0,16,0.6645630598068237,0.75,0.035436996264213795,5.0,0.026809360831975937,-0.21448765695095062,0.346299946308136
trajectory,0,17,0.3046059012413025,0.5,0.12789411507213605,6.75,0.02688238024711609,-0.6241892576217651,0.3348863422870636
trajectory,0,18,0.07245706021785736,0.25,0.09754295375965485,8.0,0.027653437107801437,-1.4115595817565918,0.29745545983314514
trajectory,0,19,0.6677342057228088,0.75,0.019765795679653385,6.25,0.03098231554031372,-1.1130101680755615,0.38902023434638977
trajectory,0,20,0.654079258441925,0.75,0.050920743612243136,4.5,0.03429870307445526,-1.155613899230957,0.5173762440681458
trajectory,0,21,0.9725000262260437,1.0,0.0,2.75,0.03179753199219704,-0.0012715952470898628,0.5558941960334778
trajectory,0,22,0.95250004529953,1.0,0.0,4.75,0.028877191245555878,-0.07578510046005249,0.4094286262989044
trajectory,0,23,0.4005306363105774,0.5,0.03946938399099499,6.0,0.033353500068187714,-0.40040016174316406,0.2984771430492401
trajectory,0,24,0.11277393251657486,0.25,0.05222605882988347,8.5,0.036071453243494034,-0.3737698793411255,0.2947283387184143
trajectory,0,25,0.6380552649497986,0.75,0.06194474222528634,5.0,0.03451243415474892,-1.0314185619354248,0.32832667231559753
trajectory,0,26,0.40895214676856995,0.5,0.026047864320590863,6.5,0.031645748764276505,-1.773712396621704,0.3570329248905182
trajectory,0,27,0.0028416812419891357,0.25,0.15965831648211465,8.75,0.03503112122416496,-1.219040870666504,0.35306215286254883
trajectory,0,28,0.0817231684923172,0.25,0.07327683123634073,9.5,0.03733440861105919,-0.11685848236083984,0.3772208094596863
trajectory,0,29,0.9775000214576721,1.0,0.0,2.25,0.03564596548676491,2.148149360436946e-05,0.41504693031311035
trajectory,0,30,0.9524999856948853,1.0,0.0,4.75,0.029470127075910568,-0.003928277641534805,0.3411571979522705
endpoint,1,1,0.20185674726963043,0.5,0.23814326662460425,6.0,0.04440023750066757,-7.874731540679932,0.0
endpoint,1,2,0.5462049245834351,0.75,0.16379510850542311,4.0,0.04443417116999626,-7.223853588104248,0.0
endpoint,1,3,-0.22029881179332733,0.25,0.3877988007951805,8.25,0.044381365180015564,-4.608168601989746,0.0
endpoint,1,4,0.4021011292934418,0.75,0.30539888309981494,4.25,0.04392851144075394,-9.338987350463867,0.0
endpoint,1,5,0.44464847445487976,0.75,0.2603515483316856,4.5,0.044327400624752045,-7.659942150115967,0.0
endpoint,1,6,-0.2426304966211319,0.25,0.41263051797706357,8.0,0.04376541078090668,-6.088464736938477,0.0
endpoint,1,7,-0.1714548021554947,0.25,0.34145481000543876,8.0,0.043219953775405884,-6.1666460037231445,0.0
endpoint,1,8,-0.03875839710235596,0.5,0.4637583870753202,7.5,0.04353052377700806,-8.601029396057129,0.0
endpoint,1,9,0.24940189719200134,0.5,0.18809812443369156,6.25,0.04440164566040039,-7.319693088531494,0.0
endpoint,1,10,0.6609138250350952,0.75,0.03658617418847885,5.25,0.0449952557682991,-3.9070634841918945,0.0
endpoint,1,11,0.6077797412872314,0.75,0.07222025781020491,7.0,0.044688522815704346,-1.3042879104614258,0.0
endpoint,1,12,0.2709793746471405,0.5,0.15152065003736698,7.75,0.04353827238082886,-3.986952304840088,0.0
endpoint,1,13,-0.04891666769981384,0.25,0.21891667865328132,8.0,0.043473631143569946,-5.2294416427612305,0.0
endpoint,1,14,0.30375513434410095,0.5,0.12874485969293037,6.75,0.043903518468141556,-2.186718702316284,0.0
endpoint,1,15,0.9825000166893005,1.0,0.0,1.75,0.04406127333641052,0.0006831525824964046,0.0
endpoint,1,16,0.6390928626060486,0.75,0.07090716361999512,4.0,0.04414716735482216,-4.809094429016113,0.0
endpoint,1,17,0.36904656887054443,0.5,0.06845342620114014,6.25,0.04375344514846802,-5.133143424987793,0.0
endpoint,1,18,0.09957627207040787,0.25,0.07292373515672233,7.75,0.042684875428676605,-4.694639682769775,0.0
endpoint,1,19,0.5674337148666382,0.75,0.11006627584405698,7.25,0.04159509018063545,-3.7298431396484375,0.0
endpoint,1,20,0.5974004864692688,0.75,0.09509952952943838,5.75,0.04177344962954521,-3.395951509475708,0.0
endpoint,1,21,0.6613891124725342,0.75,0.03861093785021993,5.0,0.04206784442067146,-3.5296263694763184,0.0
endpoint,1,22,0.3347057104110718,0.5,0.08529429316894546,8.0,0.04157146438956261,-1.3522748947143555,0.0
endpoint,1,23,0.569290280342102,0.75,0.12570974758048414,5.5,0.04055146872997284,-4.781319618225098,0.0
endpoint,1,24,-0.239376962184906,0.0,0.1393769682399285,10.0,0.03992125764489174,0.21101409196853638,0.0
endpoint,1,25,0.3653174638748169,0.5,0.06968254108158672,6.5,0.040006086230278015,-5.381467819213867,0.0
endpoint,1,26,0.34121963381767273,0.5,0.09128036499023437,6.75,0.040490977466106415,-5.214797019958496,0.0
endpoint,1,27,0.3651517629623413,0.5,0.06734826406512101,6.75,0.040211815387010574,-4.065526962280273,0.0
endpoint,1,28,-0.04649730026721954,0.25,0.21399730902923061,8.25,0.03959832713007927,-2.6227784156799316,0.0
