seed,case_id,initial_d95,final_d95,initial_d02,final_d02,initial_max_oar_ratio,final_max_oar_ratio,initial_acceptable,final_acceptable,added_beam_degrees,actions,final_oar_ratios,cache_mib
11000,synthetic3d-011000,0.899772047996521,0.9575616717338562,1.241844654083252,1.2029645442962646,0.7239623409505903,0.6142086890860359,True,True,60.0,increase_oar_1_priority|add_beam_60_degrees|increase_oar_1_priority|increase_target_priority,0.61420869|0.57734629,35.59508514404297
11001,synthetic3d-011001,0.887592077255249,0.9614436030387878,1.2094712257385254,1.201277256011963,0.6323868878707339,0.5329274861915135,True,True,150.0,increase_oar_2_priority|add_beam_150_degrees|increase_oar_1_priority|increase_target_priority,0.53292749|0.37058518,35.598350524902344
11002,synthetic3d-011002,0.8788018226623535,0.9239435791969299,1.1912156343460083,1.1846989393234253,0.870836031395785,0.7307680383043124,True,True,30.0,increase_oar_2_priority|add_beam_30_degrees|increase_oar_2_priority|increase_target_priority,0.59347975|0.73076804,35.597625732421875
11003,synthetic3d-011003,0.9198801517486572,0.9143461585044861,1.1679396629333496,1.186511516571045,0.8346067116101216,0.6490268090004682,True,True,150.0,increase_oar_1_priority|add_beam_150_degrees|increase_oar_2_priority|increase_target_priority,0.61408216|0.64902681,35.59954071044922
11004,synthetic3d-011004,0.9341979026794434,0.8974877595901489,1.1550861597061157,1.2129662036895752,1.0197551864349879,0.8118842768751866,False,True,30.0,increase_oar_2_priority|add_beam_30_degrees|increase_oar_1_priority|increase_target_priority,0.68376280|0.81188428,35.59282684326172
11005,synthetic3d-011005,0.9196272492408752,0.8941696882247925,1.110073208808899,1.1842082738876343,1.1045591303673894,0.8728005892735827,False,True,60.0,increase_oar_2_priority|add_beam_60_degrees|increase_oar_1_priority|increase_target_priority,0.87280059|0.78571664,35.599708557128906
11006,synthetic3d-011006,0.8861876726150513,0.8867315053939819,1.2214610576629639,1.2380024194717407,1.095207971722893,0.8322493184395674,False,True,30.0,increase_oar_1_priority|add_beam_30_degrees|increase_oar_2_priority|increase_target_priority,0.79683377|0.83224932,35.5926513671875
11007,synthetic3d-011007,0.8949149250984192,0.9545329809188843,1.2170261144638062,1.1832833290100098,0.8575714508497001,0.6194938000022744,True,True,30.0,increase_oar_2_priority|add_beam_30_degrees|increase_oar_2_priority|increase_target_priority,0.61949380|0.60315975,35.59211730957031
11008,synthetic3d-011008,0.9110950827598572,0.9264193773269653,1.1883131265640259,1.1816282272338867,1.0549041490848983,0.8661504101595825,False,True,120.0,increase_oar_2_priority|add_beam_120_degrees|increase_oar_1_priority|increase_target_priority,0.86615041|0.61216419,35.59789276123047
11009,synthetic3d-011009,0.897277295589447,0.8914132118225098,1.2254400253295898,1.2465267181396484,0.9429458852230713,0.8247241072364472,True,True,120.0,increase_oar_1_priority|add_beam_120_degrees|increase_oar_2_priority|increase_target_priority,0.69912377|0.82472411,35.59522247314453
11010,synthetic3d-011010,0.9333702921867371,0.929763674736023,1.1583948135375977,1.1776090860366821,1.0271108664374782,0.7912385324677534,False,True,120.0,increase_oar_1_priority|add_beam_120_degrees|increase_oar_2_priority|increase_target_priority,0.79123853|0.77731915,35.594482421875
11011,synthetic3d-011011,0.8928813338279724,0.913367509841919,1.1425129175186157,1.1793479919433594,0.676030798476634,0.71887285760933,True,True,120.0,increase_oar_1_priority|add_beam_120_degrees|increase_oar_2_priority|increase_target_priority,0.62525124|0.71887286,35.60437774658203
